8,20,G06, 3, 62
5,39,G06, 1, 126
12,21,G06, 0, 84
6,20,G07, 1, 34
9,18,G07, 1, 84
17,20,G07, 3, 27
18,24,G08, 0, 87
10,29,G09, 59, 0
9,35,G09, 2, 57
8,13,G10, 77, 2
17,29,G10, 67, 2
11,12,G10, 46, 0
18,31,G11, 80, 8
18,24,G11, 11, 134
14,21,G11, 1, 97
7,19,G11, 5, 110
11,7,G11, 46, 9
18,8,G11, 65, 2
1,10,G11, 2, 95
5,19,G12, 4, 60
9,4,G12, 93, 8
7,2,G12, 147, 10
8,29,G12, 12, 106
11,23,G12, 16, 222
3,12,G12, 8, 67
2,25,G12, 21, 256
13,8,G12, 253, 66
4,23,G12, 5, 111
4,19,G12, 11, 123
11,18,H01, 10, 211
9,3,H01, 80, 12
16,36,H01, 12, 4
7,23,H04, 3, 81
17,1,H01, 79, 1
11,20,H01, 8, 160
18,20,H12, 2, 58
